,id,room_type,host_id,host_since,host_response_rate,reviews_per_month,review_scores_value,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_cleanliness,review_scores_rating,price,cleaning_fee,zipcode,number_of_reviews
7106,11996527,Private room,58141749,2016-02-10,,0.2,9.0,10.0,10.0,10.0,9.0,87.0,39.0,$10.00,1011,6
10744,16685383,Private room,5831960,2013-04-08,,0.52,10.0,9.0,10.0,10.0,10.0,93.0,39.0,$10.00,1055 EP,12
15457,22616573,Private room,166468718,2018-01-07,100%,4.72,9.0,10.0,10.0,10.0,10.0,96.0,39.0,$10.00,1016,51
17188,25900530,Private room,65678398,2016-04-03,,0.64,8.0,8.0,10.0,4.0,2.0,60.0,39.0,,1066 HR,3
3641,6116302,Private room,31093577,2015-04-12,,4.73,9.0,8.0,10.0,9.0,9.0,90.0,39.0,$25.00,1106,207
3472,5875934,Private room,15917368,2014-05-24,100%,0.9,8.0,8.0,9.0,8.0,6.0,73.0,39.0,$10.00,1102,40
13715,20422174,Private room,53049256,2016-01-02,,3.9,10.0,9.0,10.0,10.0,10.0,93.0,39.0,$5.00,1104,60
15133,22171109,Private room,161954393,2017-12-09,,0.18,9.0,9.0,10.0,9.0,9.0,100.0,39.0,$10.00,1061,2
4654,7604965,Private room,17043945,2015-07-29,,0.02,10.0,10.0,10.0,10.0,10.0,100.0,40.0,$20.00,1059,1
16361,24201218,Private room,38698132,2015-07-16,75%,0.63,8.0,8.0,9.0,9.0,8.0,88.0,40.0,$15.00,1034 TP,5
16174,23855455,Private room,114685459,2017-02-03,100%,1.34,9.0,9.0,9.0,9.0,7.0,92.0,40.0,$0.00,1060 TW,10
5501,9088830,Shared room,47264416,2015-10-23,100%,3.62,9.0,9.0,9.0,9.0,9.0,93.0,40.0,,1023,134
16073,23691410,Private room,44797346,2015-09-21,80%,3.4,8.0,8.0,8.0,8.0,8.0,84.0,40.0,$0.00,1106 JP,30
5397,8879262,Private room,15553129,2014-05-15,,0.03,10.0,10.0,10.0,10.0,10.0,100.0,40.0,,1061BD,1
4760,7783100,Private room,12636041,2014-02-27,100%,0.4,9.0,10.0,10.0,9.0,8.0,95.0,40.0,$20.00,1058,16
532,771758,Private room,195859,2010-08-09,,1.96,9.0,8.0,10.0,10.0,10.0,88.0,40.0,$50.00,1062 GR,134
12617,19221578,Private room,19163028,2014-07-30,100%,4.33,10.0,9.0,10.0,10.0,10.0,99.0,40.0,$30.00,1025,78
2934,4762636,Entire home/apt,3605964,2012-09-18,,0.06,9.0,9.0,10.0,10.0,9.0,93.0,40.0,$10.00,1032 JT,3
6410,10581993,Private room,54591923,2016-01-14,,2.58,9.0,9.0,10.0,10.0,9.0,94.0,40.0,$25.00,1102,63
397,652767,Private room,3281176,2012-08-16,,0.24,9.0,9.0,10.0,10.0,10.0,98.0,40.0,,1094,18
17122,25764138,Private room,23848658,2014-11-17,,1.83,8.0,8.0,10.0,10.0,9.0,86.0,40.0,$15.00,1102 HE,11
3650,6126501,Private room,28144474,2015-02-22,100%,0.53,9.0,10.0,10.0,10.0,9.0,93.0,40.0,,1073 GN,22
17272,26071210,Private room,13172125,2014-03-16,89%,6.15,10.0,10.0,10.0,10.0,10.0,98.0,40.0,$20.00,1031 AG,33
3638,6113864,Private room,31093577,2015-04-12,,3.26,9.0,9.0,10.0,10.0,9.0,94.0,40.0,$25.00,1106,144
17578,26621612,Private room,34046945,2015-05-23,100%,1.86,9.0,10.0,10.0,10.0,10.0,98.0,40.0,,1103,8
18168,27600742,Private room,138583516,2017-07-04,100%,2.87,9.0,9.0,9.0,9.0,10.0,89.0,40.0,$20.00,1055,9
3304,5531173,Private room,28678110,2015-03-03,90%,0.08,10.0,10.0,10.0,10.0,10.0,100.0,40.0,$15.00,1069,2
18439,28075122,Private room,60041757,2016-02-23,96%,4.2,9.0,10.0,9.0,10.0,10.0,89.0,40.0,$10.00,1079 RB,14
3279,5475024,Entire home/apt,28392380,2015-02-26,,1.25,9.0,8.0,9.0,9.0,10.0,88.0,40.0,$60.00,1052,55
16803,25020153,Private room,176192511,2018-03-02,,3.06,9.0,9.0,10.0,10.0,9.0,92.0,40.0,,1107 WG,11
3031,4926673,Private room,21348537,2014-09-15,,0.06,8.0,8.0,10.0,10.0,9.0,87.0,40.0,$20.00,1057 WK,3
15633,22941689,Private room,169915566,2018-01-25,90%,2.74,8.0,8.0,10.0,10.0,9.0,88.0,40.0,,1055 KS,26
6743,11317998,Private room,39960021,2015-07-29,,0.97,10.0,9.0,10.0,10.0,10.0,96.0,40.0,$10.00,1056,33
12573,19189509,Private room,44989184,2015-09-24,,0.06,10.0,10.0,10.0,10.0,10.0,100.0,40.0,$0.00,1098 EK,1
1288,1812912,Private room,9497470,2013-10-18,,0.02,10.0,10.0,10.0,10.0,10.0,100.0,40.0,,1054 HW,1
12259,18826604,Private room,16944056,2014-06-18,,0.27,10.0,9.0,10.0,10.0,10.0,93.0,40.0,$0.00,1056,5
13862,20621335,Private room,25403329,2014-12-30,,3.02,10.0,9.0,10.0,10.0,10.0,99.0,40.0,$0.00,1104 EA,47
